# SNRtot, SNR221, SNR220, evidence220, evidence221, evidence220_221, nofilter
4.378607081936858769e+00 3.795331190618677297e+00 4.036227009346176509e+00 9.685307017899376092e+00 9.916583165020091073e+00 1.108176150595667941e+01 2.404301120060855723e+00
4.539780272912694592e+00 2.384964454808747636e+00 4.460585731376078833e+00 9.880599212377751073e+00 9.051083245491859941e+00 1.082390725241245732e+01 1.685598645891035474e+00
3.946388708045692750e-01 3.810366220202245358e-01 3.277340812626979849e-01 1.195587802271576905e+01 1.197296493270346929e+01 1.197902139359064932e+01 1.191253118987971149e+01
2.791616934130146319e+02 1.920085832708721227e+02 1.068848486891840679e+02 -1.392428828392900186e+03 -1.763175920651493414e+02 3.604350383168368754e+00 -3.895363513350193534e+04
1.115167641042365876e+00 6.953966055043714345e-02 1.055049258178191618e+00 1.168668040680579878e+01 1.168825411081719423e+01 1.182226191269256788e+01 1.136860167524066689e+01
2.414841055789100910e-01 2.168439146343819901e-01 2.299714141634618680e-01 1.197482823592387291e+01 1.197757943933014069e+01 1.198340299417735544e+01 1.196124382243104201e+01
8.559139917831897648e+00 2.696630231372338926e-01 8.470737143736203123e+00 9.297404703351775268e+00 6.834558661430581772e+00 1.027758562227785610e+01 -2.463903695745704425e+01
2.845497758832856761e+01 8.181159560213911774e+00 3.284120705148535535e+01 5.052916964478787243e+00 -1.058075435684617815e+01 8.070436829702472892e+00 -3.928524736670858033e+02
1.762161782633529628e+00 7.117944130297425565e-01 1.828211688882715569e+00 1.142567986220802290e+01 1.152123874692370897e+01 1.171879127086412709e+01 1.043779403496757396e+01
1.520966557978825939e+01 9.130013160528049454e+00 6.639141666716521506e+00 3.306994517042030068e+00 7.187625156533018256e+00 1.028807523544530689e+01 -1.036765624154432146e+02
7.929496862574059168e-01 1.871603432278360832e-02 7.784050228260626092e-01 1.185771041834369477e+01 1.187374868622567803e+01 1.192306024180267698e+01 1.167601650658680512e+01
1.890569159288151297e+02 9.500352113260225906e+01 2.122351775119670947e+02 -2.398753102571989757e+02 -2.646787108965946231e+02 3.520444100013095934e+00 -1.785926832914847910e+04
2.404983171962247823e+01 4.315446764116209977e+00 2.229000160835095201e+01 6.957755890895330531e+00 1.983877815569607517e+00 8.709420706628321796e+00 -2.772068017620250657e+02
5.474466954486474357e+00 2.780822327213852585e+00 3.149171535978287029e+00 9.274472197375789762e+00 1.043015244969411626e+01 1.126468977052454790e+01 -2.994493108827541050e+00
1.756885027900467522e+00 8.047735218076678132e-01 1.353191449262842294e+00 1.141820124689255422e+01 1.161949193417013682e+01 1.177151420900973022e+01 1.044707860842425085e+01
2.788781959426544290e+02 6.492715423723416279e+01 2.278649029859932398e+02 -7.205446971275402746e+01 -7.460135379613868167e+01 -4.083710904596898672e+00 -3.887453368500572833e+04
