# SNRtot_MF, evidence220_330, evidence220
2.870409113632815590e+01 -4.306787011743739981e+02 -4.313541013165925619e+02
1.777470020779874105e+01 -3.802082595045664561e+02 -3.809686442046601655e+02
8.007907051048361780e+01 -4.038366053368363850e+02 -4.044774393500555334e+02
1.194426465448084826e+02 -4.570418436355283234e+02 -4.588598086266238738e+02
6.925251753519718534e+01 -3.974452627738504020e+02 -3.998847595993360642e+02
6.261379993041084902e+01 -4.280446845017035002e+02 -4.265542987806048814e+02
9.464443415117226266e+01 -5.852469980684095390e+02 -5.895222860094828548e+02
6.884032150781116854e+01 -4.176841414100527459e+02 -4.204459407755159077e+02
9.487391232707932431e+01 -4.182215295611292163e+02 -4.182984568057550518e+02
5.664105995692226969e+01 -4.052428310527489543e+02 -4.061340788324430378e+02
5.707307801038103179e+01 -4.078444450854003094e+02 -4.091513231023589015e+02
2.205272990804027700e+01 -3.874844188044063458e+02 -3.882832913016821408e+02
5.379398127845698241e+01 -3.864173478484497082e+02 -3.866508881355069889e+02
7.596062729454810381e+01 -4.261946009143974265e+02 -4.265881113001171343e+02
4.988106138711201964e+01 -3.978944185196938861e+02 -4.008204501363758254e+02
3.482587237838917815e+01 -4.068439447420226429e+02 -4.039071130733448172e+02
4.161151681058705520e+01 -4.166712743296591270e+02 -4.174289879324030608e+02
2.806472923207019576e+01 -3.931194158666752401e+02 -3.941266156875728939e+02
6.446822546628558825e+01 -3.990787679922727875e+02 -3.989374608406318430e+02
3.579246653173265713e+01 -3.973149931925568126e+02 -3.971932106382428742e+02
2.840018870711628196e+01 -3.895303952400269623e+02 -3.920715535410579946e+02
9.090331349640763392e+00 -4.185699043745275389e+02 -4.174468106681051154e+02
7.413209530067571507e+01 -4.081397381329885548e+02 -4.087345749848151399e+02
5.709733412792655116e+01 -3.976349774960588093e+02 -4.018426680757730765e+02
4.639010075473301242e+01 -3.942751683294977170e+02 -3.942831297356794948e+02
7.147850784131500745e+01 -4.074208197014210100e+02 -4.090305290602252626e+02
2.290673753485111064e+01 -3.745491701484449436e+02 -3.752373366707616924e+02
2.207950768847364742e+01 -4.172816796441932752e+02 -4.187248410873382340e+02
1.267289765087586773e+02 -4.245373099511342616e+02 -4.258728071877320644e+02
1.803776647274546363e+01 -3.951048919002579964e+02 -3.959882673511947360e+02
1.152110545800227293e+01 -3.903122458880923205e+02 -3.926013938248383965e+02
5.477181406501297545e+01 -4.336522389940368498e+02 -4.351876762428802294e+02
4.442598422762726074e+01 -4.038366556883374869e+02 -4.059754425951936128e+02
1.174472735759082198e+01 -3.822920479118874368e+02 -3.816381710323556149e+02
1.607413610408637794e+01 -4.356072604692826644e+02 -4.362029421118616597e+02
1.054937053403707239e+02 -4.566478137850262442e+02 -4.598980666585227937e+02
1.409963637159049199e+01 -3.877521589792808072e+02 -3.905786879892235106e+02
8.864133315061810947e+01 -5.024935118848707702e+02 -5.021887433284781537e+02
1.216696329080194872e+01 -3.784693789419518453e+02 -3.812237149870010171e+02
7.917590285276050110e+01 -4.079203190773226311e+02 -4.058961629490856353e+02
5.888605596585091462e+01 -3.781483380393458447e+02 -3.819414358815766377e+02
1.609737892206811338e+01 -4.155433265111984156e+02 -4.154504697258279862e+02
6.058015815788110814e+01 -3.943307655620547507e+02 -3.944501561692079576e+02
3.223910245314759493e+01 -4.036490066280877613e+02 -4.058908113720032134e+02
7.645379748695633282e+01 -4.535918658838118063e+02 -4.527601559560647502e+02
8.231655252902648101e+01 -4.139239372008557893e+02 -4.141398734999161775e+02
